"id","primary_name","prefixes","total.dois","current.dois","backfile.dois","flags.deposits.abstracts.current","coverge.abstracts.current","flags.deposits.abstracts.backfile","coverge.abstracts.backfile"
433,"Research Information Ltd.","10.1564","1274","152","1122","TRUE","0.138157889246941","FALSE","0"
434,"American Academy of Implant Dentistry","10.1563","1658","178","1480","TRUE","0.75842696428299","TRUE","0.528378367424011"
438,"Anthropological Society of Nippon","10.1537","5683","56","5627","FALSE","0","FALSE","0"
526,"Aquatic Mammals Journal","10.1578","964","154","810","FALSE","0","FALSE","0"
527,"International Society of Endovascular Specialists","10.1583","2357","0","2357","FALSE","0","FALSE","0"
532,"Institute of Electronics, Information and Communications Engineers (IEICE)","10.1587","29514","3805","25709","FALSE","0","FALSE","0"
535,"Competence Network Pediatric Oncology & Hematology","10.1591","81","0","81","FALSE","0","FALSE","0"
538,"Johnson Matthey","10.1595","772","117","655","TRUE","0.222222223877907","TRUE","0.00610687024891376"
575,"American Society of Plant Taxonomists","10.1600","1506","188","1318","TRUE","0.117021277546883","FALSE","0"
622,"Tohoku University Medical Press","10.1620","10774","213","10561","FALSE","0","FALSE","0"
623,"Division of Functional Equations, The Mathematical Society of Japan (JST)","10.1619","324","26","298","FALSE","0","FALSE","0"
624,"Japanese Society of Human-Environment System","10.1618","146","6","140","FALSE","0","FALSE","0"
631,"Japanese Society for Complementary & Alternative Medicine","10.1625","279","38","241","FALSE","0","FALSE","0"
632,"Crop Science Society of Japan","10.1626","6312","100","6212","FALSE","0","FALSE","0"
638,"Alphamed Press","10.1634, 10.5966","4523","784","3739","FALSE","0","FALSE","0"
736,"American Society of Nephrology (ASN)","10.34067, 10.1681, 10.2215","10634","1241","9393","FALSE","0","FALSE","0"
825,"Society for Biomedical Diabetes Research (SBDR)","10.1900","361","14","347","FALSE","0","FALSE","0"
828,"American Academy of Periodontology (AAP)","10.1902","731","0","731","FALSE","0","FALSE","0"
846,"Ceramic Society of Japan","10.2109","17759","415","17344","FALSE","0","FALSE","0"
