id,primary_name,prefixes,total.dois,current.dois,backfile.dois,flags.deposits.abstracts.current,coverge.abstracts.current,flags.deposits.abstracts.backfile,coverge.abstracts.backfile
16530,Uludag Aricilik Dergisi,10.31467,75,29,46,FALSE,0,FALSE,0
16574,Medical Press Open Access,10.31546,29,29,0,FALSE,0,FALSE,0
16581,BPSDMP KOMINFO Surabaya,10.31504,69,29,40,TRUE,0.206896558403969,TRUE,0.0750000029802322
16823,Dogus Universitesi Dergisi,10.31671,412,29,383,FALSE,0,FALSE,0
16815,Egitim Programlari ve Ogretim Dernegi,10.31704,30,29,1,TRUE,0.931034505367279,TRUE,1
16260,"Faculty of Sport and Physical Education, Novi Sad University",10.31382,60,29,31,FALSE,0,FALSE,0
16972,KAREN - Karadeniz Arastirmalari Enstitusu Dergisi,10.31765,29,29,0,FALSE,0,FALSE,0
17031,KNST (Korea society for Naval Science and Technology),10.31818,29,29,0,FALSE,0,FALSE,0
17135,Journal of Recovery Science,10.31886,29,29,0,TRUE,1,FALSE,0
16837,Institute of Biotechnology and Molecular Medicine,10.31708,29,29,0,FALSE,0,FALSE,0
17155,Colegio de Profesionales del Trabajo Social de Puerto Rico,10.31919,64,29,35,TRUE,0.241379305720329,FALSE,0
17755,Academic and Applied Research in Military and Public Management Science,10.32565,29,29,0,FALSE,0,FALSE,0
17584,Shifa Tameer-e-Millat University,10.32593,29,29,0,TRUE,0.965517222881317,FALSE,0
18427,Bath Spa University,10.33008,29,29,0,FALSE,0,FALSE,0
18354,Purnomo Yusgiantoro Center,10.33116,29,29,0,TRUE,0.931034505367279,FALSE,0
18674,INFOTEKS,10.33173,29,29,0,TRUE,1,FALSE,0
18982,50Sea,10.33411,29,29,0,TRUE,0.827586233615875,FALSE,0
19381,Ankara Universitesi Hukuk Fakultesi Dergisi,10.33629,1926,29,1897,FALSE,0,FALSE,0
19837,Instituto Geologico,10.33958,301,29,272,TRUE,0.689655184745789,TRUE,0.0661764740943909
19861,Hansen Science Publishing Company Inc,10.34038,29,29,0,FALSE,0,FALSE,0
20017,Bingol Universitesi Ilahiyat Fakultesi Dergisi,10.34085,29,29,0,FALSE,0,FALSE,0
20148,Revista Icone,10.34176,29,29,0,TRUE,0.896551728248596,FALSE,0
20391,Research Institute of Nursing Science,10.35144,49,29,20,FALSE,0,FALSE,0
21044,Korean Transactional Analysis Counseling Association,10.35476,29,29,0,FALSE,0,FALSE,0
19110,Asian Music Research Institute,10.33452,129,29,100,FALSE,0,FALSE,0
21428,Tashkent Institute of Irrigation and Agricultural Mechanization Engineers,10.35938,29,29,0,TRUE,1,FALSE,0
22236,"International Academy of Marine Science, Technology and Innovation",10.36381,29,29,0,TRUE,0.862068951129913,FALSE,0
22387,Liberal Dusunce Dergisi,10.36484,29,29,0,FALSE,0,FALSE,0
22585,Politeknik Pos Indonesia,10.36618,29,29,0,TRUE,0.931034505367279,FALSE,0
22571,"Wydawnictwo DiG I. Dacka-Gorzynska, S. Gorzynski Sp.J.",10.36693,29,29,0,TRUE,0.413793116807938,FALSE,0
22705,Institute of Oilseed Crops NAAS,10.36710,29,29,0,TRUE,0.448275864124298,FALSE,0
22800,Pusat Penelitian dan Pengembangan Rekarta Mataram,10.36765,29,29,0,TRUE,1,FALSE,0
23310,Escuela Superior Tecnologica de Artes Debora Arango,10.37127,42,29,13,TRUE,1,TRUE,1
23383,Institute for Development and International Relations,10.37173,45,29,16,TRUE,1,TRUE,1
